2017-04-02 09:00:51 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-04-02 09:00:51 install xz-utils:armhf <none> 5.1.1alpha+20120614-2
2017-04-02 09:00:51 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2017-04-02 09:00:51 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2017-04-02 09:00:51 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2017-04-02 09:00:51 install zlib1g:armhf <none> 1:1.2.7.dfsg-13
2017-04-02 09:00:51 status half-installed zlib1g:armhf 1:1.2.7.dfsg-13
2017-04-02 09:00:52 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2017-04-02 09:00:52 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2017-04-02 09:00:52 startup packages configure
2017-04-02 09:00:52 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2017-04-02 09:00:52 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-04-02 09:00:52 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2017-04-02 09:00:52 status installed lsb-base:all 4.1+Debian8+deb7u1
2017-04-02 09:00:52 configure ncurses-base:all 5.9-10 <none>
2017-04-02 09:00:52 status unpacked ncurses-base:all 5.9-10
2017-04-02 09:00:52 status unpacked ncurses-base:all 5.9-10
2017-04-02 09:00:52 status half-configured ncurses-base:all 5.9-10
